Category,Flag Key,Feature Name,Description,Enabled (Y/N),Notes
--- Sepsis ---,,,,,
Assessment Writeback,nurse_writeback_flowsheet,Nurse Assessment - Auto Writeback to Flowsheet Rows,Automatically writes nurse assessment answers back to EHR flowsheet rows,N,
Assessment Writeback,nurse_writeback_note,Nurse Assessment - Auto Writeback as Clinical Note,Writes nurse assessment as a separate clinical note instead of flowsheet rows,Y,Note name: Bayesian Sepsis Nursing Assessment; PDF format
Assessment Writeback,nurse_escalation_questions,Nurse Assessment - Provider Escalation Questions,Enables provider escalation questions within the nurse assessment workflow,N,Not implemented at go-live; consider timing for Phase 2 or earlier release
Assessment Writeback,nursing_q1_not_diagnostic,Nursing Question 1 - Not Diagnostic Tooltip,Displays a 'Not diagnostic' tooltip on Nursing Assessment Question 1,N,
Assessment Writeback,provider_flowsheet_writeback,Provider Assessment - Auto Flowsheet Writeback,Automatically writes provider assessment answers to EHR flowsheet rows,N,
Assessment Writeback,auto_writeback_note_type,Automatic Flowsheet Writeback of Note Type,Automatically writes back the note type answer to a flowsheet row,N,
Assessment Writeback,provider_unsure_followup,Provider Follow-Up on Unsure Response,Enables a follow-up question when the provider selects 'unsure' on assessment responses,N,
Assessment Writeback,sepsis_deescalation,Sepsis De-escalation,Enables the sepsis de-escalation workflow for step-down from active alerts,N,
Documentation,create_new_note,Create a New Note Button,Enables the Create New Note button for providers to generate a clinical note,Y,Note name: Bayesian Sepsis Provider Assessment; PDF format
Documentation,add_to_existing_note,Add to Existing Note Button,Enables the Add to Existing Note button to append to an open note,N,
Documentation,provider_doc_tab,Provider Documentation Tab in Treatment Management,Enables the provider documentation tab within the treatment management view,Y,
Documentation,nursing_documentation,Nursing Documentation,Enables nursing documentation capabilities within the application,N,
Documentation,provider_assessment_pdf_writeback,Provider Assessment - PDF Writeback,Writes provider assessment as a PDF document back to the EHR,Y,PDF writeback for provider assessment; Allscripts-specific
Documentation,provider_note_pdf_writeback,Provider Note - PDF Writeback,Writes provider clinical note as a PDF document back to the EHR,Y,PDF writeback for provider clinical note; Allscripts-specific
Bundle Manager,bundle_tracking,Bundle Tracking,Enables the sepsis bundle tracking workflow with time-based compliance monitoring,N,Planned for Phase 2
Bundle Manager,nurse_order_set,Nurse Order Set Enabled,"Enables the nurse order set link (e.g., Rapid Response Sepsis Set) within the application",N,
Bundle Manager,provider_order_set,Provider Order Set Enabled,Enables the provider order set link within the bundle tracking page,N,Out of scope for Phase 1; need to scope tech feasibility for Phase 2
Bundle Manager,bundle_start_provider_trigger,Bundle Start Time by Provider Trigger,Bundle timer starts when the provider triggers the order set,N,
Bundle Manager,fluid_mod_bayesian_ui,Fluid Modification (Bayesian UI),Fluid contraindication/modification questions surfaced within the Bayesian application UI,Y,
Bundle Manager,fluid_mod_ehr_order_set,Fluid Modification (EHR Order Set),Fluid contraindication data pulled from the EHR order set rather than Bayesian UI,N,
Bundle Manager,provider_fluid_questions,Provider - Fluid Documentation Questions,Enables fluid documentation questions in the provider assessment workflow,Y,
Bundle Manager,ibw_calculation,Ideal Body Weight Calculation,Auto-calculates IBW in Bayesian for fluid contraindication when BMI > 30,N,
Bundle Manager,auto_obesity_contraindication,Auto-Selection of Obesity Contraindication,Automatically selects obesity fluid contraindication when IBW criteria are met,N,
Bundle Manager,focused_exam_writeback,Focused Exam Writeback to Flowsheet Row,Writes focused exam data back to EHR flowsheet rows,N,
Bundle Manager,focused_exam_read,Focused Exam Read from Flowsheet,Reads focused exam data from existing EHR flowsheet values,N,
Bundle Manager,prn_fluids,PRN Fluids,Enables PRN fluids tracking within the bundle manager,N,
Bundle Manager,prn_vasopressors,PRN Vasopressors,Enables PRN vasopressors tracking within the bundle manager,N,
Contributing Factors,qsofa,qSOFA,Enables qSOFA scoring driven by nursing assessment,N,
Contributing Factors,historical_contributing_factors,Historical Contributing Factors,Displays historical contributing factor data alongside current values,N,
Clinical Workflow,redirect_to_treatment_management,Redirect to Treatment Management,Automatically redirects clinicians to the treatment management view,N,
Clinical Workflow,redirect_on_active_bundles,Redirect to Treatment Management on Active Bundles,Redirects clinicians to treatment management view only when active bundles exist,N,
Bp Management,bp_management,BP Management,Enables blood pressure management workflow and monitoring,N,
Bp Management,lactate_trending,Lactate Trending,Enables lactate trending display in contributing factors,N,
Regulatory,investigational_banner,Investigational Banner,Displays an investigational use banner across all application screens,N,
Regulatory,ifu,Instructions for Use (IFU),Displays IFU documentation link within the application,N,
Suppression,antibiotic_driven_suppression,Antibiotic-Driven Suppression,Enables antibiotic-driven suppression of sepsis alerts,N,
Suppression,reset_suppression_on_admission,Re-set Suppression on Admission (ED to IP),Resets suppression state when patient is admitted from ED to inpatient,N,
Suppression,code_status_suppression,Code Status Suppression,Suppresses sepsis alerts for patients with comfort-care or DNR code status,N,
Other,neutropenic_fever_enabled,Neutropenic Fever Model,Enables the neutropenic fever detection model,N,
Other,neutropenic_fever_notifications,Neutropenic Fever Notifications,Enables clinical notifications for neutropenic fever alerts,N,